Cardholder Name,Card Number,Card Type,Card Expiry Date,Transaction Amount,Currency,Transaction Date and Time,Merchant Name,Merchant ID,Authorization Code,Authorization Response,Terminal ID,POS Entry Mode,Transaction Type,CVV/CVC,AVS Data,Customer Signature,Transaction Status,Fraud
Mark Sanchez,676270033134,Discover,01/25,712.46,VUV,03/30/2024 15:06,"Miranda, Murphy and Mendoza",532c3262-b73c-4ced-bd98-2944678e593e,705a7c28-1fbb-4fd8-b30b-613e7d0f08d8,Approved,4c49b471-d8c4-42f1-8ed6-fab81caf086f,Swipe,Refund,032,Matched,Not Required,Pending Settlement,True
Kristi Miles,6523149212111181,JCB 16 digit,08/26,115.19,TND,03/24/2024 13:04,"Burgess, Woods and Torres",b91e4f2c-2312-4a9b-8b11-60baf33d2dae,b3895088-8d0c-42f1-9401-1dd87d03930a,Approved,ba636ef7-0193-4df7-ad27-5c9afc9672ac,Swipe,Refund,215,Not Matched,Required,Settled,True
Sean Campos,4271705576994721116,Discover,12/26,34.12,USD,03/10/2024 05:07,"Williams, Roman and Ryan",e9a19062-69ab-44f2-b01f-87d98ffdc6fb,09e879a9-f477-49a1-a3e1-a526bc30f10b,Approved,f1a09666-436f-4bf5-ad2a-b5333f439743,Chip,Refund,723,Matched,Not Required,Settled,True
Anthony Lam,4838933521192858,VISA 19 digit,04/27,577.76,HRK,03/25/2024 13:59,Williams-Smith,25143aa7-77a9-4ad7-b703-3f4065083f06,d8766fb4-b4d2-41df-9df0-298886218542,Declined,2e7a2277-db21-4479-8582-1c4283b66318,Swipe,Purchase,934,Matched,Required,Settled,False
Suzanne Anderson,4578242005843877,JCB 15 digit,09/26,952.78,ILS,03/13/2024 13:25,Day-Fox,90daef43-5666-42c2-a4c0-d81ad1703840,c5c36918-6b20-4a4f-a6c6-c94cbeb97da8,Approved,95969517-a3d8-4d5e-8726-ef8b860fa1db,Swipe,Purchase,750,Matched,Required,Pending Settlement,False
Katrina Flores,213102807113565,VISA 13 digit,12/30,49.63,PEN,03/06/2024 09:41,Tucker-Nunez,6129b740-11cb-4cc4-8cb0-15c044748566,3ad8032f-4e8f-4b2f-8995-e0b1bf37a993,Declined,d26c0f22-3a6c-4ecf-ae8f-5c5ae66d0919,Chip,Refund,530,Matched,Not Required,Pending Settlement,True
Vincent Reynolds,4693220830703933343,VISA 19 digit,09/31,655.81,CHF,03/16/2024 18:16,Higgins PLC,c1af3041-7d8d-4795-a4f0-d7301e7b89f3,39c35b5c-1e77-44d0-94d7-e9578ba7f31c,Declined,65e2ede2-bd73-484d-a8a5-8876ddd0e28e,Swipe,Refund,243,Matched,Not Required,Pending Settlement,True
Cheryl Bell,6543849114605778,JCB 16 digit,11/26,542.65,SGD,04/02/2024 18:20,Gibson Ltd,bebd46a0-0bda-4b22-a7f6-f7eb38232c31,5aaf2357-b89e-45e7-8f0a-6487a32ef37c,Declined,00842989-6a8d-4b64-ab3b-0de7b3ae0ac6,Swipe,Purchase,826,Matched,Required,Settled,True
Tina Wiggins,4218016465159,Mastercard,04/24,974.86,ZMW,04/03/2024 16:55,"Lewis, Farley and Adams",7475bbb3-9934-4efd-b93e-ea78b9cec145,53b21d33-b2b2-4d50-8109-fa917493a5e7,Declined,cd32593c-7821-4795-9df3-1474f9daa275,Chip,Purchase,805,Matched,Not Required,Pending Settlement,False
Julia Richards,4990091129372192,Diners Club / Carte Blanche,11/26,440.12,RON,03/07/2024 16:47,Michael-Baker,d83c99af-236d-41e7-8421-9e4686ac16ee,7be43ed7-5e17-4413-ba38-4b1827765961,Declined,036fee79-9051-496f-a636-d01bda6e3416,Swipe,Purchase,450,Not Matched,Required,Pending Settlement,True
Tyrone Dawson,4347473663253378,VISA 16 digit,08/28,648.77,KMF,03/11/2024 04:32,"Wilson, White and Johnson",55dcc935-a1a6-4d32-97e2-1573431797b9,d0d21edb-def2-4283-b627-97dddb1afb34,Declined,5eb13ca0-93d0-4a8d-b9e3-71964baf1bed,Swipe,Refund,944,Not Matched,Not Required,Pending Settlement,False
Michael Romero,3558485481842733,JCB 16 digit,05/32,993.27,MGA,03/14/2024 19:38,"Shepard, Gray and Shepherd",450305ae-f74c-4dab-81f1-cc263d71e5b8,c4cb58af-61a4-4d79-ba5c-2e00a1550d0d,Approved,44905b35-b295-4032-a3a1-2518c4b15b5c,Swipe,Refund,209,Not Matched,Required,Pending Settlement,False
William Oconnell,4866620638577726,Diners Club / Carte Blanche,09/31,402.35,PKR,03/22/2024 06:04,"Armstrong, Ford and Cuevas",06969242-a040-468b-ad67-c6c54e523fd7,e78ab28b-a8ea-4b06-aaa2-dbad90200074,Approved,baf562f1-405a-494a-a495-c106c4df1af7,Chip,Refund,487,Matched,Not Required,Settled,False
Brian Stone,4929651800219889004,Diners Club / Carte Blanche,09/30,768.22,ALL,03/11/2024 10:43,Schultz-Ford,efb1565e-d34b-45fd-81ce-e199f8d129f2,7dbbb676-da21-4d96-bd01-1d2291396dcc,Declined,4839d5fe-a3f1-4649-b926-3331dbc8a379,Chip,Purchase,070,Matched,Not Required,Settled,False
Lee Wolfe,2274525618602891,VISA 13 digit,02/31,396.48,MDL,03/19/2024 07:47,Hernandez Group,b8f14dc9-eee4-4ff0-8c89-b631f4388380,b2369813-0126-4f0f-94fd-cf15c3c181d3,Approved,1d0a8fc9-0309-4079-b33b-0d7cc689a7a3,Swipe,Purchase,232,Not Matched,Not Required,Pending Settlement,False
Lisa Smith,3555131070512203,Diners Club / Carte Blanche,09/33,506.53,MYR,03/19/2024 04:13,Gregory and Sons,2b41407f-3d22-496f-aa10-37b052bfad64,c054fdbd-27f7-4b71-8c88-794e0ac0c6cf,Approved,5d42089e-4647-456b-b814-858845605704,Chip,Purchase,094,Not Matched,Required,Settled,True
Kevin Kerr,2253020085850087,VISA 19 digit,02/27,918.75,ISK,03/24/2024 09:12,Valenzuela-Dorsey,0188462e-53f0-4999-bb00-07a876db6217,6bd27d99-2a59-4d80-bbcd-e7c0bec82984,Declined,94f0bf4d-10bd-4380-8a40-481a14ab24f8,Swipe,Purchase,714,Matched,Required,Settled,False
Laura Fernandez,30486722096422,Maestro,12/31,24.82,GIP,03/25/2024 04:52,Martin Inc,2c7ae041-f908-4dad-859f-e0df862df36f,efb6df7c-95d9-4ac4-aa17-24701fac229a,Approved,dc2c7ec3-81fd-42ed-884d-e231ae411ec6,Swipe,Refund,406,Not Matched,Not Required,Pending Settlement,True
Brian Singh,6558052609964485,VISA 16 digit,02/25,464.01,NIS,03/21/2024 16:28,"Wilson, Pennington and Johnston",640c225c-e6c2-463a-8961-38ade232c337,48bf47ea-f687-44cd-a870-cfb39588df2a,Declined,01b45f78-bdf8-42df-bce2-50fca89cbcf1,Swipe,Purchase,620,Not Matched,Not Required,Settled,True
David Watson,2418433295353382,Discover,12/29,621.46,CVE,03/20/2024 20:50,"Jones, Fernandez and Bailey",ef42a433-96cb-44fa-a599-80d1ac6c85b4,2339292d-87a6-4549-9a9f-adf652f0f3f3,Declined,3b57cea3-e381-4ba7-92b2-f795d46f7f0b,Chip,Refund,590,Matched,Required,Settled,True
Christopher Brown,30234044438645,American Express,04/28,760.59,IDR,03/09/2024 03:21,Webster Group,ec3ed5ba-8dc7-4b53-97d0-fc6c74f76446,16867fec-ce24-4f3a-b070-f9d64607203f,Declined,630062a3-3cac-4590-9584-4f444cc8384c,Swipe,Refund,907,Matched,Required,Settled,True
Kevin Jones,4166141333034,Maestro,07/32,634.75,CVE,03/20/2024 12:59,Wright-Cherry,f6563841-fb29-4579-9616-38e29f257af1,79838494-3c2b-44a8-a299-261df3848365,Declined,7fce3134-ea26-4ea6-affb-48b8217029ff,Swipe,Refund,184,Matched,Not Required,Settled,False
Kim Stokes,342190846812606,Mastercard,03/25,782.05,SHP,04/02/2024 16:40,Church-Barnett,06d1314d-1e99-4e5f-a631-58604c915527,ae8a52c0-4fb2-4db5-8045-324bd8f3adfe,Approved,68319abe-50b4-4f09-a7f1-724b2e32d8bb,Swipe,Refund,869,Matched,Not Required,Settled,False
Sandra Chan,4712657767409529589,Maestro,11/31,175.68,AWG,03/08/2024 13:37,Williams Inc,d1430794-dc10-49da-a2d6-d695c08a9eaa,8e354255-4daa-41a2-8fc5-aa388ff14f28,Declined,aa9725df-554d-430d-87af-850f50098c72,Chip,Purchase,135,Matched,Not Required,Settled,False
Elijah Thompson,2253164237401322,Diners Club / Carte Blanche,10/33,162.41,GBP,03/23/2024 21:17,"Ramirez, Chung and Obrien",40f7af46-96f0-4e18-a9b4-732d3bfc1991,d87da5d2-31b6-4fe3-9ee0-7a8cbb70552f,Approved,ae52b3f3-ded3-4f9d-a937-aebf729a7432,Chip,Refund,350,Matched,Required,Settled,False
David Mosley,4857083132267493880,American Express,08/30,287.27,SHP,03/08/2024 02:38,Sharp Inc,49088243-9bce-4e45-baa1-498617fdcab7,b0f10653-ecd1-4d3b-af14-98761303aa20,Declined,8d03736b-21aa-4506-950a-1595daf7633c,Chip,Purchase,390,Not Matched,Required,Pending Settlement,True
Monica Smith,3556039158661785,VISA 16 digit,01/34,370.63,USD,03/08/2024 18:43,Torres PLC,a5bd59bd-cf65-427e-b5c4-8f089d881061,9c1ca0d3-8d5c-47d0-8f35-94a0bd594360,Approved,178f22f2-b943-490f-b0f7-797c71b82ad3,Chip,Refund,537,Not Matched,Not Required,Pending Settlement,True
Lisa Lawrence,3504594576463365,JCB 15 digit,02/26,30.52,TMT,03/11/2024 09:38,Oneal LLC,d9e80fb6-37f7-44be-bb50-e0d44759b67e,95b5d3ea-2124-459d-9638-ab7c458699b5,Declined,fd0be5c6-2633-4f65-ad1f-1047a9fc0ac4,Chip,Purchase,661,Not Matched,Required,Pending Settlement,False
April Silva PhD,4902012099945145,VISA 19 digit,02/28,670.36,STD,04/02/2024 14:56,"Hess, Peters and Morton",8c9fa9e8-7af9-4326-9f93-0392e9a571f0,81bafd33-7345-4f88-ab34-9a19432ede76,Approved,19487cdb-f57b-4bad-8fe2-68bc820092c8,Chip,Purchase,188,Matched,Required,Settled,True
Stephanie Brown,4482326948834685607,VISA 19 digit,02/31,935.29,HRK,03/12/2024 04:44,Santiago-Nash,f8a7608e-98a4-48fe-8242-2e1d83b9d901,f1bdc333-d534-4ef4-b78d-d0ece6d58a41,Declined,39909b16-8422-432c-a345-936dac6f4058,Swipe,Refund,128,Not Matched,Required,Settled,False
Samuel Gentry,3539436448659490,Diners Club / Carte Blanche,07/31,799.25,GTQ,03/08/2024 15:46,Mueller Ltd,791f87d9-abb8-44b4-a7fe-2f86fbeef562,816a0f79-192d-47ff-9bc8-b0057a335e6b,Declined,f302cddb-995c-47ec-9cf8-8e85e882c756,Chip,Purchase,070,Not Matched,Not Required,Pending Settlement,False
Lee Obrien,4553229286870251851,VISA 19 digit,12/24,771.26,ZMW,03/08/2024 09:17,Mendez-Young,b3b74ec8-6c4a-4f33-90a5-ebd809d65e85,79863913-0e6a-4bcd-bb6b-52ddeb9ec3a1,Approved,ef72e36d-93d1-4bfd-9903-88aa97b48161,Swipe,Refund,499,Not Matched,Not Required,Settled,False
Andrew Heath,4433981189998859,JCB 16 digit,08/29,616.62,UAH,03/21/2024 07:38,"Rivera, Johnson and Thomas",4e78bd96-537c-40f7-8d13-b299e2854bcf,430b31a5-d990-4912-989f-2f4b0b70b86f,Declined,88b7971b-4b77-45a0-b656-f5873bdfc5ab,Chip,Purchase,682,Not Matched,Not Required,Pending Settlement,True
Tammy Mullins,6011411464593972,VISA 16 digit,05/26,466.87,KES,03/19/2024 22:48,"Marshall, Shannon and Jones",09f681ca-43b7-4029-9d03-6961061dac77,f0c88971-11bc-4129-8970-f9aa72afd76e,Approved,0232dae4-a830-46d8-9561-562831561dde,Swipe,Purchase,849,Not Matched,Required,Pending Settlement,True
Alexandra Gregory,370499959725900,Mastercard,10/24,376.91,PAB,03/24/2024 07:23,Cohen LLC,3eee2d7c-ef86-4f2b-88a2-95d15e3e0d9f,993f01a8-57a0-430e-94e1-fae283585b1f,Declined,f7625bc1-f5c3-4e27-8227-817256f15a24,Chip,Refund,6702,Matched,Required,Pending Settlement,False
Tiffany Williams,3592059373895972,JCB 16 digit,12/27,726.81,JEP,03/16/2024 09:30,Wells LLC,5efaa7a5-740e-439d-889d-dc42e46cd96a,b42094ca-3020-457d-9dc5-76c04849ffe4,Approved,fd4fab5d-55e7-4b9e-a7cc-4209413f6216,Chip,Purchase,981,Not Matched,Required,Settled,False
Brian Kane,180094773547497,VISA 16 digit,07/29,680.82,CRC,03/18/2024 04:56,Simmons-Wood,0726f42e-6a38-487a-8447-6e69398732df,c2da42b7-1409-4eb9-87ab-27c3f846aa35,Declined,bf07d4be-cb40-4917-a133-48c461065b43,Chip,Purchase,620,Not Matched,Required,Settled,True
Timothy Tran,341680871186190,VISA 16 digit,10/25,109.88,AED,03/23/2024 10:36,"Osborne, Anderson and Richard",901e960f-9ab6-4be7-9780-b8a2100ea5ca,47311b63-dc3b-48f9-9e59-3821dcdd5db5,Approved,a99c0edb-327b-43c5-bf94-0bc67b598f06,Chip,Purchase,0901,Matched,Required,Pending Settlement,True
Connor Miles,4620652334336,VISA 16 digit,03/33,575.62,MMK,03/15/2024 23:18,Arnold-Jimenez,202ba9f8-7538-472b-b1ec-beabc90a2908,aa130dc2-6a1b-4caa-9b12-f1a3ac7c2427,Declined,5cb73557-9696-4223-b943-edbb2ec63f39,Swipe,Refund,3475,Matched,Not Required,Pending Settlement,False
Amanda Williams,342762442498657,Discover,08/31,230.35,NPR,03/10/2024 22:39,Fuller-Garcia,b2cb599f-16ef-4f44-aef7-45d4affc970c,ec5116e5-f959-49d0-9b22-7a771e794716,Approved,9fe26454-61aa-43b8-ba57-1153acc2dd04,Swipe,Purchase,911,Matched,Not Required,Settled,False
Jordan Ramsey,180054303623655,VISA 16 digit,03/32,642.65,IRR,03/28/2024 07:04,Rivera-Davis,8e58e725-09ab-49fd-abc7-371df8b5cd99,331598ce-b260-4d2e-8e74-033f925f8072,Declined,206bb622-a35a-4b40-bf9c-13c1d5982453,Swipe,Purchase,970,Not Matched,Not Required,Pending Settlement,True
Patrick Rodriguez,4591845015536340,JCB 16 digit,04/30,235.88,CVE,03/20/2024 20:49,Richmond Inc,898b3a10-3185-4e53-9e3a-34b032ddfac4,ede1b33e-5186-4476-a68b-c8e58a5511a4,Declined,7709d15f-d363-463b-a681-071bb3223493,Swipe,Refund,280,Not Matched,Not Required,Pending Settlement,False
Richard Robinson,2275163792499477,Diners Club / Carte Blanche,09/31,400.8,MYR,03/21/2024 21:20,"Osborne, Williams and Luna",9128acf9-78be-487a-ab78-9e891ea2d045,483cd2bd-dff9-4ddf-9a1a-337a98dca289,Declined,6d12c084-3b1f-4d46-a322-8e5291c8ea50,Swipe,Refund,218,Not Matched,Required,Settled,True
Damon Cohen,4490907951069215413,JCB 16 digit,12/30,262.02,CUC,03/31/2024 16:53,"Andrews, Nash and Hernandez",f87c0d45-f6eb-44ec-9700-f83939783785,8a66ce05-aa2b-4be6-8f97-fcf30dd4b51b,Declined,b8c3ea25-f8db-4e91-b495-c64e1f617671,Chip,Purchase,9437,Matched,Required,Pending Settlement,True
Tyrone Black,630444646560,Diners Club / Carte Blanche,07/31,338.97,SBD,03/23/2024 12:18,Bennett Inc,5d9481e6-bcaa-4b08-aa75-1b63552616e6,79be16bf-5672-4bc6-bb10-2ffce7d90988,Approved,9f0f9a21-5c32-4109-91ba-52f725d97c6c,Swipe,Purchase,590,Matched,Required,Settled,True
Alec Owens,4062614988620429308,Maestro,08/32,83.66,SLL,03/23/2024 09:50,Martin Inc,631bbcaf-a7f2-4022-8990-5dee4da80efe,d0fa7699-e632-45a9-98bd-47b26dfe702c,Declined,7227ec35-436e-4c29-ab8d-327f3097f97d,Chip,Refund,976,Not Matched,Not Required,Settled,False
Frances Gonzalez,3504817606864033,JCB 15 digit,11/31,583.78,BDT,03/21/2024 02:01,Mason Ltd,3fea734a-3a8f-4fe0-b0d7-55123c31b42c,d348ffe6-7fb6-4fb1-b20b-3482c82614c1,Approved,bad5e18f-4eef-4872-9f43-90e60eaaa52e,Swipe,Refund,416,Not Matched,Not Required,Settled,False
Clayton Fischer,4603867685276045,JCB 16 digit,12/28,529.53,OMR,03/31/2024 02:44,Walls-Diaz,08d28e68-6fbe-4ea3-9183-e31e745532cc,4c5bb908-5cb8-4a29-8d58-07141e91a1eb,Approved,6495c12a-5e55-44cf-9306-0f752adccee9,Chip,Refund,441,Matched,Required,Settled,False
Albert Wilson,4668313829082983,VISA 16 digit,02/34,298.38,SHP,03/13/2024 19:58,Adams Ltd,e952bfc3-f92e-42ae-986d-74c1a90ac2ef,11ab7781-2346-4bb5-825d-2da6a958f033,Declined,c75f95a6-2828-4ccf-a46a-ada28cca7147,Chip,Purchase,733,Not Matched,Required,Settled,True
Veronica Thornton,213124193128692,Diners Club / Carte Blanche,10/32,274.1,ZWD,03/16/2024 20:11,"Price, Williams and Stanley",b6885aa1-27fa-4ee1-b3af-b1da374b4d6f,ec1c1e83-2925-4317-8e3f-5f1d0810fe71,Declined,88c7a426-0fb2-4846-8676-5aca6b2a945e,Chip,Refund,7527,Not Matched,Not Required,Pending Settlement,False
Benjamin Williams,4579524699658,JCB 16 digit,02/33,607.94,TND,03/31/2024 21:45,Schwartz-Cochran,ce0c0b3f-968a-4566-bee9-3c0ac8a29e8b,55b53596-12c2-4353-bc36-202460869540,Declined,54c85b52-96f8-4320-bca6-8a78b44d43cf,Chip,Purchase,544,Matched,Required,Pending Settlement,False
Wendy Peterson,4654502349442260117,Diners Club / Carte Blanche,05/29,125.12,BBD,04/02/2024 05:05,"Blake, Myers and Clark",f6283ad2-8948-4340-94bb-405e41564703,41d3cb30-2f20-466a-8984-cefca4ce0fc3,Approved,ef8aa3b8-8ac5-40f7-a4be-ede4aacfee91,Swipe,Purchase,842,Matched,Required,Pending Settlement,False
Brittany Brooks,2295617351440509,JCB 15 digit,10/32,617.93,TJS,03/05/2024 13:54,Evans-Mitchell,5ee64d78-b9ad-4135-99b9-daf0a0925d22,65a76fc4-6877-445c-968d-69ac0bb23005,Approved,751007cb-6b7d-477a-8b56-25705742b0fc,Swipe,Refund,470,Matched,Not Required,Pending Settlement,True
Cynthia Sanchez,4092800938691,JCB 16 digit,03/32,162.76,MAD,03/19/2024 16:42,Smith-Lawson,c335b512-11fc-4965-b53c-5f1d87966f31,f6872075-135f-4151-9e38-9c6c52a612a8,Approved,062d980d-0023-44cb-907f-734fe1b983df,Swipe,Refund,784,Not Matched,Not Required,Pending Settlement,True
Danielle Bautista,675977757540,Mastercard,05/25,226.42,LSL,03/17/2024 23:13,Liu Ltd,e0014a27-e4bd-498e-8c6c-170cbe856541,c6b6044b-9a57-4952-8f05-7e44bbe9c68c,Declined,1c3a8291-bc35-48b1-a8d3-e300e1b328e9,Chip,Refund,634,Matched,Not Required,Settled,False
Angela Dudley,4888740225299965,VISA 16 digit,03/32,179.91,ERN,03/20/2024 04:39,"Adams, James and Henson",cd1ac66f-32d2-4915-b98e-3b0736e9f49c,ebc1335e-0216-4a1d-b8b7-ab1962436de8,Approved,51275a25-9246-4b71-b150-ef0b3ece68bb,Chip,Refund,774,Not Matched,Required,Settled,True
Jamie Smith,4909513586787299,JCB 15 digit,06/30,820.09,MOP,03/20/2024 11:53,"Ortiz, Goodwin and Long",23efb51a-de1c-452a-9312-91150c43fa15,60e106b0-93b8-49fe-9981-7e3a1c4701b5,Declined,993a18ff-4072-47b8-bf59-62b757910097,Swipe,Purchase,791,Matched,Required,Pending Settlement,True
Eric Anderson,4876732812553313018,Mastercard,09/25,893.99,GIP,03/11/2024 02:39,Guerrero Ltd,63f3513b-5cd7-4409-8edd-1d2af330d54a,cf9711c0-3697-4979-a887-a73fde546f4d,Declined,78510532-7f78-4573-8cc8-baffd6f6e838,Swipe,Refund,511,Matched,Required,Settled,False
Elizabeth Perkins,578287009273,VISA 16 digit,01/26,351.31,FJD,03/30/2024 02:45,"Smith, Gutierrez and Simmons",687539e7-a918-4351-a330-761487ae79a1,dfc4788a-4f86-4c60-8eac-dfb8f8f20dd7,Approved,57d571f1-57c3-4b09-9148-9a71143f723b,Chip,Refund,933,Not Matched,Required,Pending Settlement,False
Ronald Scott,4192975983593661373,American Express,01/25,685.67,RSD,03/19/2024 13:57,"Jackson, Romero and Robbins",5a221ed1-0bf6-47ce-8f6a-ffa0d3a636de,4752eb2c-a27d-4adb-a0bd-7fca8dd9a29f,Declined,82a81c64-80a2-4c6e-ae60-4520e0fb0a0f,Chip,Purchase,316,Not Matched,Not Required,Pending Settlement,False
Theresa Chandler,3522030634656383,VISA 16 digit,08/24,485.12,XDR,03/09/2024 07:08,Harvey Ltd,fae8c8d2-a042-470b-acdb-7e44abd66731,975e30b3-c317-409e-adc3-3909bf48e4d0,Approved,21c9cc05-1764-4301-ae5e-c79b4aa4d687,Chip,Purchase,444,Not Matched,Required,Settled,True
Eric Holmes,6597887592606863,Mastercard,02/33,994.21,PKR,04/02/2024 01:46,"Stone, Mills and Gates",ee9e2196-fc40-40c8-b044-cdea856fee30,fac1e6f9-244f-4664-b878-1aa8c45fb8e5,Declined,59f27b26-1861-402b-b947-9197421e4205,Swipe,Refund,609,Matched,Not Required,Settled,True
